"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"395";"R2_Pmu_5.3";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";27,75;26,98;2,19;28,54;15,365;50;42;1,02853965900667;1,19047619047619;5,29;6,69;1,72;2,98;0,790732436472347;3,07558139534884;2,43;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,563327032136106
"396";"R2_Pmu_5.4";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";31,46;33,17;1,22;33,74;17,48;55;50;0,948447392221887;1,1;4,82;7,13;2,52;4,22;0,67601683029453;1,91269841269841;2,54;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,87551867219917
"397";"R2_Pmu_5.5";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"oc";32,26;27,85;2,86;32,73;17,795;50;45;1,15834829443447;1,11111111111111;6,29;8,02;2,42;4,65;0,78428927680798;2,59917355371901;4,06;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,739268680445151
"398";"R2_Pmu_5.6";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";31,01;33,28;2,22;34,64;18,43;60;35;0,931790865384615;1,71428571428571;7,23;8,02;2,42;6,46;0,901496259351621;2,98760330578512;4,57;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,893499308437068
"399";"R2_Pmu_5.7";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";31,08;27,43;1,99;28,68;15,335;55;37;1,13306598614655;1,48648648648649;5,06;7,46;2,76;2,92;0,67828418230563;1,83333333333333;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,577075098814229
"400";"R2_Pmu_5.8";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"co";33,87;28,97;2,89;31,13;17,01;60;40;1,16914049016224;1,5;4,85;6,07;6,07;2,88;0,799011532125206;0,799011532125206;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,593814432989691
"401";"R2_Pmu_6.1";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"co";34,22;28,64;3,06;30,08;16,57;55;40;1,19483240223464;1,375;5,91;7,32;3,78;3,21;0,807377049180328;1,56349206349206;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,543147208121827
"402";"R2_Pmu_6.2";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";42,65;31,17;2,76;32,06;17,41;58;51;1,36830285530959;1,13725490196078;6,16;6,78;2,84;3,5;0,908554572271386;2,16901408450704;1,2;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,568181818181818
"403";"R2_Pmu_6.3";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";34,56;30,8;2,17;32,2;17,185;49;45;1,12207792207792;1,08888888888889;6,31;6,48;2,62;2,04;0,973765432098765;2,40839694656489;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,323296354992076
"404";"R2_Pmu_6.4";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";35,1;32,13;2,78;34,8;18,79;60;46;1,09243697478992;1,30434782608696;5,39;6,57;2,78;3,09;0,820395738203957;1,93884892086331;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,573283858998145
"405";"R2_Pmu_6.5";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";34,63;30,03;3,09;31,37;17,23;56;43;1,15318015318015;1,30232558139535;6;6,98;3,64;3,89;0,859598853868195;1,64835164835165;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,648333333333333
"406";"R2_Pmu_6.6";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";33,76;32,5;2,38;33,95;18,165;63;39;1,03876923076923;1,61538461538462;5,61;7,7;3,18;3,44;0,728571428571429;1,76415094339623;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,61319073083779
"407";"R2_Pmu_6.7";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";30,17;24,57;2,41;27,69;15,05;51;33;1,22792022792023;1,54545454545455;4,76;6,98;3;3,16;0,681948424068768;1,58666666666667;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,663865546218487
"408";"R2_Pmu_6.8";20;"R./P.m.ssp.u. 6";"R./P.u. 6";"o";37,75;31,53;2,89;33,18;18,035;70;42;1,19727243894703;1,66666666666667;5,43;7,68;3,46;3,34;0,70703125;1,56936416184971;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,615101289134438
"409";"R2_Pmu_7.1";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";32,7;31,5;3,3;33;18,15;51;47;1,03809523809524;1,08510638297872;6,07;5,05;2,63;3,06;1,2019801980198;2,30798479087452;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,504118616144975
"410";"R2_Pmu_7.2";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";18,9;22;2,34;23,4;12,87;36;31;0,859090909090909;1,16129032258065;4,53;6,73;2,89;2,79;0,673105497771174;1,56747404844291;0,9;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,615894039735099
"411";"R2_Pmu_7.3";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";37,3;30,5;2,9;31,3;17,1;51;50;1,22295081967213;1,02;5,18;5,98;2,43;2,99;0,866220735785953;2,13168724279835;2,1;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,577220077220077
"412";"R2_Pmu_7.4";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";31,3;32,7;2,01;33,1;17,555;53;47;0,957186544342508;1,12765957446809;5,12;6,76;3,49;3,26;0,757396449704142;1,46704871060172;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,63671875
"413";"R2_Pmu_7.5";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";37,2;29,2;2,78;30,2;16,49;62;46;1,27397260273973;1,34782608695652;5,11;7;2,96;2,66;0,73;1,72635135135135;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,520547945205479
"414";"R2_Pmu_7.6";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";28,2;27,7;2,43;29;15,715;49;34;1,01805054151625;1,44117647058824;5,07;6,14;2,91;3;0,825732899022801;1,74226804123711;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,591715976331361
"415";"R2_Pmu_7.7";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";35,8;30,1;3,56;32;17,78;55;44;1,18936877076412;1,25;4,86;5,86;2,57;2,92;0,829351535836177;1,89105058365759;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,60082304526749
"416";"R2_Pmu_7.8";21;"R./P.m.ssp.u. 7";"R./P.u. 7";"o";31,6;30,2;3,38;31,7;17,54;53;40;1,04635761589404;1,325;4,89;5,86;2,97;3,2;0,834470989761092;1,64646464646465;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,65439672801636
"417";"R2_Pmu_8.1";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";34;32,9;2,12;35,9;19,01;58;50;1,03343465045593;1,16;5,34;7,66;2,69;3,1;0,697127937336815;1,98513011152416;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,580524344569288
"418";"R2_Pmu_8.2";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";33;33,6;2,57;35,5;19,035;63;43;0,982142857142857;1,46511627906977;4,26;6,92;2,56;2,57;0,615606936416185;1,6640625;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,603286384976526
"419";"R2_Pmu_8.3";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";33,4;37,6;2,06;40,3;21,18;61;44;0,888297872340425;1,38636363636364;4,9;7,22;3,01;2,27;0,678670360110803;1,62790697674419;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,463265306122449
"420";"R2_Pmu_8.4";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"oc";26,8;27,5;1,82;28,9;15,36;51;36;0,974545454545455;1,41666666666667;5,64;7,15;2,67;2,09;0,788811188811189;2,1123595505618;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,370567375886525
"421";"R2_Pmu_8.5";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";24,5;25;1,93;27,6;14,765;53;31;0,98;1,70967741935484;3,93;6,42;2,77;2,93;0,61214953271028;1,4187725631769;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,745547073791349
"422";"R2_Pmu_8.6";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";25,6;24,8;2,06;25,5;13,78;43;33;1,03225806451613;1,3030303030303;4,53;5,85;1,91;1,75;0,774358974358974;2,3717277486911;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,386313465783664
"423";"R2_Pmu_8.7";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";28,3;28,9;2,33;29,9;16,115;51;43;0,97923875432526;1,18604651162791;4,95;6,03;2,05;2,37;0,82089552238806;2,41463414634146;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,478787878787879
"424";"R2_Pmu_8.8";22;"R./P.m.ssp.u. 8";"R./P.u. 8";"o";25,9;26,1;1,89;27;14,445;41;32;0,992337164750958;1,28125;4,85;6,42;2,03;1,78;0,755451713395639;2,38916256157635;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,367010309278351
"425";"R2_Pmu_9.1";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";32,3;32,9;3;34;18,5;60;42;0,981762917933131;1,42857142857143;5,09;7,53;2,8;3,08;0,675962815405046;1,81785714285714;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,605108055009823
"426";"R2_Pmu_9.2";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";27,2;31,7;2,45;32,6;17,525;50;43;0,858044164037855;1,16279069767442;5,08;6,9;3,31;2,87;0,736231884057971;1,53474320241692;2,2;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,56496062992126
"427";"R2_Pmu_9.3";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";33,1;36,4;3,08;37,6;20,34;60;48;0,909340659340659;1,25;5,09;7,76;2,94;3,17;0,655927835051546;1,7312925170068;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,62278978388998
"428";"R2_Pmu_9.4";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"oc";27,1;22,3;1,87;23,5;12,685;43;36;1,2152466367713;1,19444444444444;5,34;7,01;3,93;3,26;0,761768901569187;1,3587786259542;2,8;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,610486891385768
"429";"R2_Pmu_9.5";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";30,2;32,6;2,06;34;18,03;52;44;0,926380368098159;1,18181818181818;4,97;6,72;2,58;2,98;0,739583333333333;1,92635658914729;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,599597585513079
"430";"R2_Pmu_9.6";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";33,2;34,7;1,71;36;18,855;57;46;0,956772334293948;1,23913043478261;4,34;6,32;2,66;2,77;0,686708860759494;1,63157894736842;1,6;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,638248847926267
"431";"R2_Pmu_9.7";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";29;30,7;2,57;31,4;16,985;51;44;0,944625407166124;1,15909090909091;5,02;6,79;2,78;2,98;0,739322533136966;1,80575539568345;1,6;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,593625498007968
"432";"R2_Pmu_9.8";23;"R./P.m.ssp.u. 9";"R./P.u. 9";"o";26,8;26,9;2,31;27,5;14,905;52;31;0,996282527881041;1,67741935483871;5,07;6,98;3,13;2,88;0,726361031518625;1,61980830670927;2,6;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,568047337278106
"433";"S_Pmu_1.1";35;"S./P.m.ssp.u. 1";"S./P.u. 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";NA
"434";"S_Pmu_1.2";35;"S./P.m.ssp.u. 1";"S./P.u. 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";NA
"435";"S_Pmu_1.3";35;"S./P.m.ssp.u. 1";"S./P.u. 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";NA
"436";"S_Pmu_1.4";35;"S./P.m.ssp.u. 1";"S./P.u. 1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";NA
"437";"S_Pmu_1.5";35;"S./P.m.ssp.u. 1";"S./P.u. 1";"o";43,3;44,6;2,8;46,2;24,5;79;59;0,97085201793722;1,33898305084746;7,92;8,53;4,56;3,59;0,928487690504103;1,73684210526316;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,453282828282828
"438";"S_Pmu_1.6";35;"S./P.m.ssp.u. 1";"S./P.u. 1";"o";45,16;44,7;2,05;46,3;24,175;81;66;1,01029082774049;1,22727272727273;5,08;6,43;3,71;4,18;0,7900466562986;1,36927223719677;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,822834645669291
"439";"S_Pmu_1.7";35;"S./P.m.ssp.u. 1";"S./P.u. 1";"o";44,1;40,6;2,24;43,6;22,92;73;62;1,08620689655172;1,17741935483871;6,29;8,16;5,27;5,25;0,770833333333333;1,19354838709677;1,6;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,834658187599364
"440";"S_Pmu_1.8";35;"S./P.m.ssp.u. 1";"S./P.u. 1";"o";39,2;42,7;2,6;45;23,8;71;56;0,918032786885246;1,26785714285714;6,37;7,68;2,56;3,36;0,829427083333333;2,48828125;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,527472527472527
"441";"S_Pmu_10.1";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";40,7;36,8;2,92;37,6;20,26;69;56;1,10597826086957;1,23214285714286;5,64;7,09;3,07;2,7;0,795486600846262;1,8371335504886;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,478723404255319
"442";"S_Pmu_10.2";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";34,1;33,6;1,64;34;17,82;59;47;1,01488095238095;1,25531914893617;5,28;6,44;2,47;2,9;0,819875776397516;2,13765182186235;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,549242424242424
"443";"S_Pmu_10.3";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";38,4;33,8;2,45;35;18,725;66;51;1,13609467455621;1,29411764705882;4,69;5,44;2,63;3,44;0,862132352941177;1,78326996197719;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,733475479744136
"444";"S_Pmu_10.4";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"oc";25,6;23,4;1,69;25,5;13,595;68;16;1,09401709401709;4,25;5,18;7,03;3,09;3,15;0,736842105263158;1,67637540453074;2,4;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,608108108108108
"445";"S_Pmu_10.5";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";44,6;36,5;1,93;37;19,465;62;55;1,22191780821918;1,12727272727273;6,25;7,85;1,87;4,23;0,796178343949045;3,34224598930481;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,6768
"446";"S_Pmu_10.6";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";38,9;34,7;1,9;36,4;19,15;70;53;1,12103746397695;1,32075471698113;4,2;6,68;2,55;3,03;0,62874251497006;1,64705882352941;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,721428571428571
"447";"S_Pmu_10.7";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";49,5;42,2;2,45;43,6;23,025;73;61;1,17298578199052;1,19672131147541;4,99;7,33;2,88;3,93;0,680763983628922;1,73263888888889;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,787575150300601
"448";"S_Pmu_10.8";44;"S./P.m.ssp.u. 10";"S./P.u. 10";"o";39,6;34,8;2,03;35,9;18,965;71;50;1,13793103448276;1,42;5,32;5,67;2,56;3,24;0,938271604938272;2,078125;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,609022556390977
"449";"S_Pmu_11.1";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";27,7;27,8;3,18;28,5;15,84;62;52;0,996402877697842;1,19230769230769;4,98;6,62;2,89;2,97;0,75226586102719;1,72318339100346;2,1;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,596385542168675
"450";"S_Pmu_11.2";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";27,8;26,1;2,79;26,6;14,695;43;38;1,06513409961686;1,13157894736842;5,89;6,35;2,27;2,87;0,92755905511811;2,59471365638767;3,6;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,487266553480475
"451";"S_Pmu_11.3";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";32,3;30,2;1,19;32;16,595;55;42;1,06953642384106;1,30952380952381;4,87;6,54;2,28;2,68;0,744648318042814;2,1359649122807;2,2;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,550308008213552
"452";"S_Pmu_11.4";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";22,5;26,4;1,68;27,6;14,64;50;26;0,852272727272727;1,92307692307692;4,61;6,59;3,4;3,44;0,699544764795144;1,35588235294118;3,7;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,746203904555314
"453";"S_Pmu_11.5";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";21,1;21,7;2,17;23,5;12,835;41;31;0,972350230414747;1,32258064516129;3,9;5,77;2,33;2,57;0,675909878682842;1,67381974248927;2,3;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,658974358974359
"454";"S_Pmu_11.6";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";28,1;27,8;2,8;28,6;15,7;50;31;1,01079136690647;1,61290322580645;4,51;5,9;2,46;3,04;0,764406779661017;1,83333333333333;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,674057649667406
"455";"S_Pmu_11.7";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";30,2;26,6;2,86;27,5;15,18;49;33;1,13533834586466;1,48484848484848;3,91;6,46;2,42;2,68;0,605263157894737;1,61570247933884;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,685421994884911
"456";"S_Pmu_11.8";45;"S./P.m.ssp.u. 11";"S./P.u. 11";"o";31;30,5;1,4;31,1;16,25;53;49;1,01639344262295;1,08163265306122;5,42;6,47;2,44;2,54;0,837712519319938;2,22131147540984;2,8;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,468634686346864
"457";"S_Pmu_12.1";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";20,6;20,6;2,33;22,9;12,615;38;30;1;1,26666666666667;4,21;5,3;2,12;2,03;0,794339622641509;1,98584905660377;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,482185273159145
"458";"S_Pmu_12.2";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";23,5;26,4;2,73;25,9;14,315;48;24;0,890151515151515;2;3,89;5,66;2,39;2,9;0,687279151943463;1,62761506276151;3,5;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,745501285347044
"459";"S_Pmu_12.3";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";24;24,8;1,9;25,8;13,85;39;33;0,967741935483871;1,18181818181818;3;4,76;2,02;2,18;0,630252100840336;1,48514851485149;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,726666666666667
"460";"S_Pmu_12.4";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"oc";21,6;17,9;1,95;18,7;10,325;51;12;1,20670391061453;4,25;3,04;6,02;2,88;1,85;0,504983388704319;1,05555555555556;3,4;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,608552631578947
"461";"S_Pmu_12.5";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";28,6;29,4;1,55;30,4;15,975;49;37;0,972789115646259;1,32432432432432;3,16;6,31;2,39;3,57;0,500792393026941;1,32217573221757;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";1,12974683544304
"462";"S_Pmu_12.6";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";18,7;16,9;1,4;19,7;10,55;41;13;1,10650887573965;3,15384615384615;3,33;5,72;2,3;2,12;0,582167832167832;1,44782608695652;1,9;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,636636636636637
"463";"S_Pmu_12.7";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";19,6;21,2;1,3;22,3;11,8;41;21;0,924528301886793;1,95238095238095;3,13;5,07;2,31;1,69;0,617357001972387;1,35497835497835;0,9;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,539936102236422
"464";"S_Pmu_12.8";46;"S./P.m.ssp.u. 12";"S./P.u. 12";"o";22,2;21,7;1,62;22,7;12,16;42;27;1,02304147465438;1,55555555555556;3,28;5,75;2,13;1,96;0,570434782608696;1,53990610328638;3,1;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,597560975609756
"465";"S_Pmu_13.1";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";28,5;28,8;1,66;30,2;15,93;53;37;0,989583333333333;1,43243243243243;4,98;6,35;2,52;2,71;0,784251968503937;1,97619047619048;3,3;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,544176706827309
"466";"S_Pmu_13.2";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";32,1;35,2;3,19;36,3;19,745;57;45;0,911931818181818;1,26666666666667;5,25;6,81;1,55;2,74;0,770925110132159;3,38709677419355;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,521904761904762
"467";"S_Pmu_13.3";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";25,1;24,2;2,02;24,6;13,31;41;36;1,03719008264463;1,13888888888889;4,25;6,09;2,35;2,96;0,697865353037767;1,80851063829787;NA;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,696470588235294
"468";"S_Pmu_13.4";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";42,8;42,1;2,12;43,3;22,71;75;52;1,0166270783848;1,44230769230769;4,98;7,07;3,62;3,82;0,704384724186704;1,37569060773481;2,5;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,767068273092369
"469";"S_Pmu_13.5";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";36,4;41,7;3,16;42,8;22,98;93;37;0,872901678657074;2,51351351351351;5,28;6,92;4,01;4,09;0,763005780346821;1,31670822942643;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,774621212121212
"470";"S_Pmu_13.6";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";25,3;28,2;1,96;19,3;10,63;48;39;0,897163120567376;1,23076923076923;4,28;6,49;2,84;2,92;0,659476117103236;1,50704225352113;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,682242990654206
"471";"S_Pmu_13.7";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";35,7;38,2;1,61;39,8;20,705;66;50;0,934554973821989;1,32;5,97;6,92;1,93;3,59;0,86271676300578;3,09326424870466;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,601340033500838
"472";"S_Pmu_13.8";47;"S./P.m.ssp.u. 13";"S./P.u. 13";"o";36,8;36,9;1,61;38;19,805;66;44;0,997289972899729;1,5;6,64;7,28;3,38;4,05;0,912087912087912;1,96449704142012;NA;"n";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,609939759036145
"473";"S_Pmu_14.1";48;"S./P.m.ssp.u. 14";"S./P.u. 14";"o";26,5;30,9;2,56;31,5;17,03;53;51;0,857605177993528;1,03921568627451;5,29;6,9;2,76;2,75;0,766666666666667;1,91666666666667;2,4;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,519848771266541
"474";"S_Pmu_14.2";48;"S./P.m.ssp.u. 14";"S./P.u. 14";"o";32,9;33,3;1,54;34,7;18,12;62;45;0,987987987987988;1,37777777777778;5,34;8,03;3,13;2,69;0,665006226650062;1,70607028753994;2,7;"s";"S./P.m.ssp.u.";"P.m.ssp.u.";"S";"P.m.ssp.u./S";0,50374531835206
