"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"353";"R2_Pmu_19.1";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";35,37;39,09;2,17;40;21,085;69;48;0,904834996162701;1,4375;5,09;7,96;2,49;2,83;0,639447236180904;2,04417670682731;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,555992141453831
"354";"R2_Pmu_19.2";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";31,7;34,35;3,02;36,7;19,86;66;50;0,922852983988355;1,32;5;6,78;2,25;2,79;0,737463126843658;2,22222222222222;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,558
"355";"R2_Pmu_19.3";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";35,6;37;2,51;38,05;20,28;60;53;0,962162162162162;1,13207547169811;5,1;7,4;2,72;2,83;0,689189189189189;1,875;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,554901960784314
"356";"R2_Pmu_19.4";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";34,47;39,8;2,57;40;21,285;61;51;0,86608040201005;1,19607843137255;5,19;7,68;2,32;3,55;0,67578125;2,23706896551724;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,684007707129094
"357";"R2_Pmu_19.5";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";28,9;32;2,3;33;17,65;52;40;0,903125;1,3;4,3;6,31;2,3;2,29;0,681458003169572;1,8695652173913;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,532558139534884
"358";"R2_Pmu_19.6";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";30,26;32,35;1,86;34,25;18,055;55;41;0,935394126738794;1,34146341463415;4,41;7;2,6;3,2;0,63;1,69615384615385;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,72562358276644
"359";"R2_Pmu_19.7";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";30,61;35;2,39;35,89;19,14;58;47;0,874571428571429;1,23404255319149;5,57;6,08;2,21;2,73;0,916118421052632;2,52036199095023;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,490125673249551
"360";"R2_Pmu_19.8";33;"R./P.m.ssp.u. 19";"R./P.u. 19";"o";31,86;33;2,76;34,11;18,435;51;47;0,965454545454545;1,08510638297872;5,05;7,49;2,39;2,77;0,674232309746328;2,11297071129707;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,548514851485149
"361";"R2_Pmu_2.1";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"o";36,95;42,4;2,36;42,4;22,38;60;55;0,871462264150944;1,09090909090909;5,15;7,49;2,33;3,64;0,68758344459279;2,21030042918455;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,706796116504854
"362";"R2_Pmu_2.2";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"o";32,74;35;4,05;35,3;19,675;65;45;0,935428571428571;1,44444444444444;5,04;6,11;3,21;3,59;0,824877250409165;1,57009345794393;2,51;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,712301587301587
